phone_number,attempted,attempts,disposition,support_smith,environment_thermometer
4102533400,TRUE,1,1,0,5
4103375604,TRUE,1,0,NA,NA
4106196906,TRUE,2,1,0,7
4105982410,TRUE,1,1,1,7
4108920128,TRUE,2,1,0,4
4109957322,TRUE,1,1,1,8
4107822727,TRUE,1,1,1,5
4106263491,TRUE,1,1,1,9
4102242639,TRUE,1,1,1,7
4103506833,TRUE,1,1,0,5
4104252026,TRUE,2,1,1,10
4100337842,TRUE,1,1,NA,4
4106014038,TRUE,1,1,0,9
4106228733,TRUE,1,1,0,4
4104752022,TRUE,1,1,1,6
4106088250,TRUE,2,0,NA,NA
4106402908,TRUE,1,1,1,5
4107628848,TRUE,2,1,1,1
4103410830,TRUE,2,1,1,5
4109806481,TRUE,1,0,NA,NA
4107291180,TRUE,1,1,0,NA
4100275350,TRUE,1,1,0,4
4101812432,TRUE,2,1,0,10
4105275218,TRUE,1,1,0,4
4109361071,TRUE,1,1,0,4
4102722730,TRUE,1,1,1,10
4109546237,TRUE,1,1,1,3
4107571447,TRUE,1,1,1,10
4104740895,TRUE,1,1,NA,3
4103497786,TRUE,1,1,0,5
4107975117,TRUE,1,1,1,10
4108334013,TRUE,1,0,NA,NA
4101325207,TRUE,1,0,NA,NA
4102533394,TRUE,1,1,1,7
4104303221,TRUE,1,1,1,6
4102072464,TRUE,2,1,NA,7
4105951740,TRUE,2,1,1,7
4100476866,TRUE,2,0,NA,NA
4106096184,TRUE,1,1,0,7
4106933159,TRUE,1,1,0,5
4103880905,TRUE,1,1,0,7
4107000780,TRUE,2,1,0,1
4109349448,TRUE,1,1,1,3
4105725033,TRUE,1,0,NA,NA
4106360574,TRUE,1,1,NA,6
4102875120,TRUE,1,1,0,5
4106268140,TRUE,1,1,1,7
4109005372,TRUE,1,1,0,8
4100547063,TRUE,1,1,0,10
4102891174,TRUE,1,0,NA,NA
4109885278,TRUE,1,1,1,6
4108222065,TRUE,1,1,0,7
4108285114,TRUE,1,1,1,3
4104565485,TRUE,2,0,NA,NA
4102931328,TRUE,1,1,1,7
4101490670,TRUE,1,1,1,4
4106621882,TRUE,1,1,0,10
4100571476,TRUE,1,1,1,4
4104884572,TRUE,1,1,1,8
4101521723,TRUE,2,0,NA,NA
4106747654,TRUE,1,1,1,6
